attr.0,attr.1,attr.2,attr.3,attr.4,attr.5,attr.6,attr.7,attr.8,attr.9,class,label
0.038141813,-0.015027298,-0.002666582,0.032932177,-0.023813305,-0.015850045,0.012175517,-0.001986062,0.006581529,0.001768171,1,1_0001.jpg
0.02980592,-0.010418749,-0.013176687,0.012601514,-0.037188888,0.010355946,0.006011587,0.003274067,0.002007889,0.005101133,1,1_0002.jpg
0.001016925,0.00597339,0.011031949,0.005776595,-0.009523486,-0.033134777,0.017243674,0.022393962,-0.012497824,-0.003546342,1,1_0003.jpg
0.027031729,-0.019928364,0.002008672,0.020676658,-0.031761512,0.017517662,-0.003380673,0.021957181,0.015054563,0.002746561,1,1_0004.jpg
0.00803782,-0.013439658,-0.01211406,-0.003783574,-0.016924707,0.016172893,-0.008254427,0.012382279,-0.016416086,0.011460044,1,1_0005.jpg
0.027848877,-0.02087935,-0.01525992,0.008901116,-0.02979816,-0.004229003,0.004031595,-0.003924294,0.013163098,0.006596429,1,1_0006.jpg
0.03399871,-0.006192511,-0.010638276,-0.005462772,-0.005627167,-0.005840569,0.007615868,0.007270718,0.004583672,0.013975536,1,1_0007.jpg
0.015881961,-0.001429205,-0.001073934,0.02110639,-0.040878803,0.021976518,0.008657995,0.01117275,0.001307966,-0.002938648,1,1_0008.jpg
0.015596565,-0.016058873,-0.003374671,0.001097065,0.002447592,-0.000304584,-0.006662438,-0.01374396,0.00535485,0.00027817,1,1_0009.jpg
0.022428023,-0.007199311,-0.017958561,0.004488169,-0.029546509,0.015247001,0.005892517,0.021812228,0.005330932,0.006901114,1,1_0010.jpg
0.05848518,-0.02790326,-0.010939354,0.005280238,0.000913592,-0.001030758,0.010536406,0.002559396,0.018123694,0.014232857,1,1_0011.jpg
0.015312216,-0.018364852,-0.00759419,0.002649249,-0.03676231,0.003373354,-0.002698684,0.011449501,0.004560834,-0.008945789,1,1_0012.jpg
0.02935462,0.021436071,0.021972895,0.023163155,-0.032082733,-0.026668763,-0.004417612,-0.020081941,-4.95E-05,0.006409848,1,1_0013.jpg
0.015710149,-0.014312711,0.007737888,0.012616882,-0.01754373,-0.020507956,0.003645514,0.006194607,-0.009166002,-0.00646043,1,1_0014.jpg
0.014256321,0.010384019,0.001915979,0.017282924,-0.001261171,-0.036515605,0.016778415,0.014490648,-0.003536325,0.013459444,1,1_0015.jpg
0.023850681,-0.006767587,-0.002707899,0.001457983,0.005274629,-0.015978012,0.001530394,-0.000489999,-0.006347819,0.001702212,1,1_0016.jpg
0.035207216,-0.025727462,0.006728005,0.016752375,-0.00528092,-0.013372497,-0.001243816,8.01E-05,-0.001274936,-0.010566217,1,1_0017.jpg
0.02856481,-0.012747487,-0.019663094,-0.009797985,-0.001957089,0.006453314,-0.001195465,0.016827535,0.004049059,-0.007693109,1,1_0018.jpg
0.020337336,-0.008772895,-0.005045948,-0.000507926,0.001023865,0.003157902,-0.001361614,0.017543485,-0.002483912,-0.017022617,1,1_0019.jpg
0.0501935,-0.028323732,-0.001223329,0.015734285,-0.008255385,-0.014724642,0.007640104,-0.006264419,0.02223886,0.002177822,1,1_0020.jpg
-0.015213772,0.014825129,-0.009428918,0.02641735,-0.00728788,0.009627046,0.011838431,-0.015665434,-0.00085418,-8.01E-05,1,1_0021.jpg
